,Match_id,Innings,Player_name,Batting_number,Over_start_number,Runs_Scored,Balls_faced,Dots,Ones,Twos,Thress,Fours,Sixs,FOW_score,FOW_over,FOW_batting_number,FOW_bowler,Wicket_method,Overs_bowled,Runs_conceded,Wickets_taken,Maiden_overs,Extras,co-batsmen wicket fallen
8673,238196,1,B Lee,8,39.1,38,26,16,8,7,0,1,2,-1,-1,-1,-1,-1,10,59,0,0,3,-9
8674,238196,1,NW Bracken,9,45.3,16,6,2,2,1,0,0,2,227,46.5,8,M Ntini,run out,8,27,1,0,2,-1
8675,238196,1,MG Johnson,10,46.6,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,3,29,0,0,1,-11
8676,238196,1,ML Lewis,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,3,25,0,0,1,0
8677,238196,2,GC Smith,1,0.1,119,123,64,38,12,1,12,1,-1,-1,-1,-1,-1,3,24,0,0,1,-2
8678,238196,2,HH Dippenaar,2,0.1,10,16,12,2,0,0,2,0,24,5.5,1,NW Bracken,bowled,0,0,0,0,0,-1
8679,238196,2,HH Gibbs,3,5.6,0,1,1,0,0,0,0,0,28,6.5,2,B Lee,run out,0,0,0,0,0,-1
8680,238196,2,AB de Villiers,4,6.6,43,30,16,6,0,1,7,1,111,17.1,3,GB Hogg,caught,0,0,0,0,0,-1
8681,238196,2,MV Boucher,5,17.2,4,16,13,4,0,0,0,0,134,22.7,4,B Lee,run out,0,0,0,0,0,-1
8682,238196,2,JM Kemp,6,23.1,24,38,23,11,1,1,2,0,-1,-1,-1,-1,-1,0,0,0,0,0,-7
8683,238196,2,SM Pollock,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,10,24,3,0,1,0
8684,238196,2,M Ntini,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9,44,2,0,5,0
8685,238196,2,A Nel,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,10,63,0,0,5,0
8686,238196,2,AJ Hall,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,8,38,1,0,2,0
8687,238196,2,RJ Peterson,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,7,36,0,0,0,0
8688,238197,1,GC Smith,1,0.1,24,29,17,8,2,0,3,0,45,8.3,1,SR Clark,bowled,0,0,0,0,0,0
